microhabitat,site,replica,station,germ,pri18,ver18,oto18,pri19,oto19,pri20,oto20,survival
genista,N,1,G18,oto18,0,0,1,1,1,1,1,0
genista,N,1,G14,pri18,2,2,2,2,2,2,2,0
genista,N,1,G15,pri18,4,4,4,4,4,4,4,0
genista,N,1,G16,pri18,2,2,2,2,2,2,2,0
genista,N,1,G17,pri18,1,1,1,1,1,1,1,0
genista,N,1,G110,pri18,1,1,1,1,1,1,1,0
genista,N,2,G210,pri18,1,1,1,1,1,1,1,0
genista,N,3,G31,pri18,1,1,1,1,1,1,1,0
genista,N,3,G33,pri18,1,1,1,1,1,1,1,0
genista,N,3,G34,pri18,1,1,1,1,1,1,1,0
genista,N,3,G32,pri19,0,0,0,2,2,2,2,0
genista,N,2,G21,ver18,0,1,1,1,1,1,1,0
juniper,N,2,E21,pri18,1,2,2,2,2,2,2,0
juniper,N,2,E24,pri18,1,1,1,1,1,1,1,0
juniper,N,3,E32,pri18,8,8,8,8,8,8,8,0
juniper,N,3,E36,pri18,1,1,1,1,1,1,1,0
juniper,N,3,E310,pri18,1,1,1,1,1,1,1,0
juniper,N,1,E14,pri19,0,0,0,2,2,2,2,0
juniper,N,1,E110,pri19,0,0,0,1,1,1,1,0
juniper,N,3,E31,pri19,0,0,0,1,1,1,1,0
juniper,N,1,E19,pri20,0,0,0,0,0,1,1,0
juniper,N,2,E23,pri20,0,0,0,0,0,1,1,0
juniper,N,1,E13,ver18,0,1,1,2,2,2,2,0
open ground,N,3,P310,pri19,0,0,0,3,3,3,3,0
stone,N,1,R12,pri18,2,2,2,2,2,2,2,0
stone,N,1,R14,pri18,1,1,1,1,1,1,1,0
stone,N,1,R17,pri18,1,1,1,1,1,1,1,0
stone,N,2,R22,pri18,5,5,5,5,5,5,5,0
stone,N,2,R24,pri18,1,1,1,1,1,1,1,0
stone,N,2,R26,pri18,2,2,2,2,2,2,2,0
stone,N,3,R34,pri18,3,3,3,3,3,3,3,0
stone,N,3,R35,pri18,1,1,1,1,1,1,1,0
stone,N,3,R36,pri18,2,2,2,2,2,2,2,0
stone,N,3,R38,pri18,5,5,5,5,5,5,5,0
stone,S,4,R41,pri18,2,2,2,2,2,2,2,0
stone,S,4,R42,pri18,1,1,1,1,1,1,1,0
stone,S,4,R45,pri18,2,2,2,2,2,2,2,0
stone,S,5,R52,pri18,1,2,2,2,2,2,2,0
stone,S,5,R56,pri18,1,1,1,1,1,1,1,0
stone,S,5,R510,pri18,1,1,1,1,1,1,1,0
stone,N,1,R11,pri19,0,0,0,2,2,2,2,0
stone,S,5,R51,ver18,0,1,1,1,1,1,1,0
wet meadow,N,2,B21,pri18,2,2,2,2,2,2,2,6.67
wet meadow,N,2,B23,pri18,2,2,2,2,2,2,2,0
wet meadow,N,3,B31,pri18,2,2,2,2,2,2,2,0
wet meadow,N,3,B33,pri18,1,1,1,1,1,1,1,0
wet meadow,N,3,B34,pri18,3,3,3,3,3,3,3,0
wet meadow,N,3,B38,pri18,5,5,5,5,5,5,5,0
wet meadow,S,4,B43,pri18,1,1,1,1,1,1,1,0
wet meadow,S,4,B48,pri18,1,1,1,1,1,1,1,0
wet meadow,S,4,B410,pri18,1,1,1,1,1,1,1,0
wet meadow,S,5,B510,pri18,1,1,1,1,1,1,1,0
wet meadow,N,3,B39,ver18,0,2,2,3,3,3,3,0
wet meadow,S,5,B51,ver18,0,1,1,1,1,1,1,0
stone,N,1,R13,ng,0,0,0,0,0,0,0,0
stone,N,1,R15,ng,0,0,0,0,0,0,0,0
stone,N,1,R16,ng,0,0,0,0,0,0,0,0
stone,N,1,R18,ng,0,0,0,0,0,0,0,0
