station,pri18bv,ver18bv,oto18bv,pri19bv,oto19bv,pri20bv,oto20bv,pri18bm,ver18bm,oto18bm,pri19bm,oto19bm,pri20bm,oto20bm,microhabitat,site,replica
R11,3,2,1,1,0,0,1,0,1,1,0,0,0,0,stone,N,1
R12,9,8,7,7,8,8,8,0,0,0,0,0,0,0,stone,N,1
R13,2,0,0,1,0,0,0,0,1,1,0,0,0,0,stone,N,1
R14,5,5,5,3,2,3,1,0,0,0,0,0,0,0,stone,N,1
R15,3,0,0,0,0,0,0,0,0,0,0,0,0,0,stone,N,1
R16,3,0,0,0,0,0,0,0,2,2,0,0,0,0,stone,N,1
R17,6,3,2,2,2,0,0,0,2,3,0,0,0,0,stone,N,1
R18,10,0,0,0,0,0,0,0,8,7,1,0,0,0,stone,N,1
R19,0,0,0,2,0,0,0,0,0,0,0,0,0,0,stone,N,1
R110,6,6,0,5,3,4,4,0,0,6,0,1,0,0,stone,N,1
G11,4,3,2,2,2,2,2,0,2,0,0,0,0,1,genista,N,1
G12,6,2,0,0,0,3,2,0,2,8,0,0,0,0,genista,N,1
G13,2,0,1,0,0,0,0,0,3,0,0,0,0,0,genista,N,1
G14,7,2,0,1,0,4,2,0,2,4,0,0,0,0,genista,N,1
G15,10,7,5,4,0,0,2,0,4,3,1,0,0,0,genista,N,1
G16,9,0,0,1,0,0,2,0,8,6,0,0,0,0,genista,N,1
G17,6,3,3,3,0,0,0,0,1,2,0,0,0,0,genista,N,1
G18,3,0,0,0,0,NA,NA,0,2,0,0,0,NA,NA,genista,N,1
G19,3,0,0,NA,0,0,0,0,2,0,NA,0,0,0,genista,N,1
G110,10,1,0,1,0,0,0,0,5,2,0,0,0,0,genista,N,1
E11,2,1,1,2,0,0,0,0,0,0,0,0,0,0,juniper,N,1
E12,15,14,10,0,0,12,13,0,1,0,0,0,0,0,juniper,N,1
E13,7,2,1,3,10,0,0,0,2,2,0,0,0,0,juniper,N,1
E14,10,1,0,0,0,0,0,0,7,0,0,0,0,0,juniper,N,1
E15,5,1,0,0,0,0,0,0,0,2,0,0,0,0,juniper,N,1
E16,5,3,1,1,0,0,1,0,5,0,0,0,0,0,juniper,N,1
E17,8,0,0,0,0,0,NA,0,6,5,0,0,0,NA,juniper,N,1
E18,10,5,1,2,2,1,0,0,1,1,0,0,0,0,juniper,N,1
E19,3,1,NA,0,0,0,0,0,1,NA,0,0,0,0,juniper,N,1
E110,5,0,1,5,1,0,0,0,1,0,0,1,0,0,juniper,N,1
P11,2,2,0,0,0,NA,0,0,0,0,0,0,NA,0,open ground,N,1
P12,0,0,0,0,0,0,NA,0,0,0,0,0,0,NA,open ground,N,1
P13,3,0,0,0,0,0,NA,0,0,0,0,0,0,NA,open ground,N,1
P14,0,0,0,0,0,0,0,0,0,1,0,0,0,0,open ground,N,1
P15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,open ground,N,1
P16,4,0,0,0,0,0,NA,0,0,0,0,0,0,NA,open ground,N,1
P17,2,0,0,0,0,0,NA,0,0,0,0,0,0,NA,open ground,N,1
P18,1,0,0,0,0,NA,0,0,0,0,0,0,NA,0,open ground,N,1
P19,5,0,0,0,0,0,0,0,0,0,0,0,0,0,open ground,N,1
P110,NA,0,0,0,0,0,0,NA,0,0,0,0,0,0,open ground,N,1
B11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,wet meadow,N,1
B12,5,0,0,0,0,0,0,0,0,0,0,0,0,0,wet meadow,N,1
B13,NA,5,3,0,NA,0,0,NA,0,0,0,NA,0,0,wet meadow,N,1
B14,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,wet meadow,N,1
B15,4,1,0,0,0,0,0,0,0,1,0,0,0,0,wet meadow,N,1
B16,3,2,0,0,0,NA,NA,0,0,0,0,0,NA,NA,wet meadow,N,1
B17,0,0,2,0,0,0,0,0,0,0,0,0,0,0,wet meadow,N,1
B18,3,2,0,0,0,1,0,0,1,0,0,0,0,0,wet meadow,N,1
B19,2,0,0,0,NA,NA,NA,0,0,0,0,NA,NA,NA,wet meadow,N,1
B110,3,0,0,0,0,0,0,0,0,0,0,0,0,0,wet meadow,N,1
R21,3,0,0,0,0,0,0,0,2,1,0,0,0,0,stone,N,2
R22,2,1,1,1,0,0,0,0,0,0,0,0,0,0,stone,N,2
R23,6,0,0,0,0,0,0,0,4,3,0,0,0,0,stone,N,2
R24,2,2,2,1,0,2,2,0,0,0,0,0,0,0,stone,N,2
R25,18,8,1,0,0,0,0,0,5,6,0,1,0,0,stone,N,2
R26,11,4,4,1,3,4,1,0,3,2,0,0,0,0,stone,N,2
R27,2,1,0,0,0,0,0,0,1,0,0,0,0,0,stone,N,2
R28,10,8,0,0,0,0,0,0,1,8,0,0,0,0,stone,N,2
R29,10,7,0,0,0,0,0,0,0,7,0,0,0,0,stone,N,2
R210,3,0,0,0,0,0,0,0,3,3,0,0,0,0,stone,N,2
G21,1,1,0,0,0,0,0,0,0,1,0,0,0,0,genista,N,2
G22,2,0,0,0,0,NA,0,0,0,0,0,0,NA,0,genista,N,2
G23,3,2,2,0,1,NA,0,0,0,0,0,1,NA,0,genista,N,2
G24,2,0,0,0,0,0,0,0,0,0,0,0,0,0,genista,N,2
G25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,genista,N,2
G26,7,4,2,0,0,0,0,0,3,3,0,0,0,0,genista,N,2
G27,4,4,2,1,2,0,0,0,2,1,0,0,0,0,genista,N,2
G28,3,0,0,0,0,0,NA,0,1,1,0,0,0,NA,genista,N,2
G29,5,0,0,0,0,0,0,0,4,0,0,0,0,0,genista,N,2
G210,3,0,0,0,0,0,0,0,3,2,0,0,0,0,genista,N,2
E21,3,2,1,7,7,7,7,0,1,1,0,0,0,0,juniper,N,2
E22,18,7,6,6,4,2,5,0,6,2,0,0,0,0,juniper,N,2
E23,5,5,0,2,1,1,1,0,1,0,0,0,0,0,juniper,N,2
E24,20,4,5,2,2,3,3,0,6,5,0,0,0,0,juniper,N,2
E25,12,0,0,0,0,0,0,0,7,0,0,0,0,0,juniper,N,2
E26,20,4,5,2,1,0,1,0,12,4,0,0,0,0,juniper,N,2
E27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,juniper,N,2
E28,12,10,NA,1,5,3,2,0,3,NA,0,1,0,0,juniper,N,2
E29,5,4,0,0,1,0,0,0,1,1,0,0,0,0,juniper,N,2
E210,3,4,3,12,8,4,2,0,1,0,0,0,0,0,juniper,N,2
P21,2,0,NA,0,0,0,0,0,0,NA,0,0,0,0,open ground,N,2
P22,6,0,NA,0,0,0,0,0,2,NA,0,0,0,0,open ground,N,2
P23,1,0,NA,0,0,0,0,0,0,NA,0,0,0,0,open ground,N,2
P24,1,0,NA,0,0,0,0,0,1,NA,0,0,0,0,open ground,N,2
P25,5,0,NA,0,0,0,0,0,0,NA,0,0,0,0,open ground,N,2
P26,2,0,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,open ground,N,2
P27,1,0,NA,0,0,0,0,0,0,NA,0,0,0,0,open ground,N,2
P28,3,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,open ground,N,2
P29,0,0,NA,0,0,0,0,0,0,NA,0,0,0,0,open ground,N,2
P210,0,0,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,open ground,N,2
B21,2,2,NA,0,0,0,0,0,0,NA,0,0,0,0,wet meadow,N,2
B22,0,0,NA,0,0,0,0,0,0,NA,0,0,0,0,wet meadow,N,2
B23,1,1,NA,2,0,0,0,0,0,NA,0,0,0,0,wet meadow,N,2
B24,0,0,NA,0,0,0,NA,0,0,NA,0,0,0,NA,wet meadow,N,2
B25,0,NA,NA,0,0,0,0,0,NA,NA,0,0,0,0,wet meadow,N,2
B26,0,0,NA,1,0,0,0,0,0,NA,0,0,0,0,wet meadow,N,2
B27,3,1,NA,0,0,0,0,0,0,NA,0,0,0,0,wet meadow,N,2
B28,2,2,NA,0,0,0,0,0,0,NA,0,0,0,0,wet meadow,N,2
B29,0,0,NA,0,0,0,0,0,0,NA,0,0,0,0,wet meadow,N,2
B210,0,0,NA,0,0,0,0,0,0,NA,0,0,0,0,wet meadow,N,2
R31,0,0,NA,0,0,0,0,0,0,NA,0,0,0,0,stone,N,3
R32,10,0,NA,0,0,0,0,0,0,NA,0,0,0,0,stone,N,3
R33,0,0,NA,0,0,0,0,0,5,NA,0,0,0,0,stone,N,3
R34,0,0,NA,0,0,0,0,0,1,NA,0,0,0,0,stone,N,3
R35,4,0,NA,0,0,0,0,0,0,NA,0,0,0,0,stone,N,3
R36,3,3,NA,0,0,0,0,0,1,NA,0,0,0,0,stone,N,3
R37,2,0,NA,0,0,0,0,0,2,NA,0,0,0,0,stone,N,3
R38,2,0,NA,0,0,0,0,0,1,NA,0,0,0,0,stone,N,3
R39,1,1,NA,0,0,0,0,0,0,NA,0,0,0,0,stone,N,3
R310,2,0,NA,0,0,0,0,0,2,NA,0,0,0,0,stone,N,3
G31,4,3,NA,0,0,0,0,0,2,NA,0,0,0,0,genista,N,3
G32,5,1,NA,0,0,1,0,0,4,NA,0,0,0,0,genista,N,3
G33,2,1,NA,0,0,0,0,0,2,NA,0,0,0,0,genista,N,3
G34,4,2,NA,1,1,1,0,0,3,NA,0,0,0,0,genista,N,3
G35,1,2,NA,0,0,0,0,0,0,NA,0,0,0,0,genista,N,3
G36,1,0,NA,0,0,0,0,0,1,NA,0,0,0,0,genista,N,3
