idVisita,loc,dateVisita,fieldworkers,notas
2018_6,Berchules,2018-10-04T00:00:00Z,"AJPL, JMBA, JMM","Revisión germinación, supervivencia."
2018_7,HazaMesa,2018-10-09T00:00:00Z,"AJPL, RZ, JMM, JMB, Maica, José Pedro",Nos cayó una buena tormenta
2020_3,BERCHULES,2020-10-01T00:00:00Z,AJPL; JMBA,Se ha retirado ya esta localidad
2020_4,HAZAMESA,2020-10-02T00:00:00Z,AJPL; RZ; Rut Aspizua; A. Veredas; Rogelio López,NA
2020_1,HAZAMESA,2020-06-19T00:00:00Z,RZ; AJPL; Antonio Veredas; Miguel Arrufat,Hemos retrasado la visita de primavera porque estaba todo fenológicamente muy restrasado
2020_2,BERCHULES,2020-07-01T00:00:00Z,AJPL; JMBA; J. CABELLO; Maria J. Salinas,NA
2019_1,HazaMesa,2019-06-05T00:00:00Z,"AJPL, JMBA, M.Galiana, ARC, Manuel, Cristina, Ainoa",NA
2019_2,Berchules,2019-05-22T00:00:00Z,"AJPL, JMBA, Ainoa, Manuel, Cristina",NA
2019_3,Berchules,2019-10-29T00:00:00Z,"AJPL, RZ, RAC, JMM",NA
2019_4,HazaMesa,2019-10-31T00:00:00Z,"AJPL, RZ, RAC, JMM, Antonio Veredas, Rogelio",NA
2018_3,HazaMesa,2018-07-31T00:00:00Z,AJPL,Reetiquetado // descarga datos sensores // revision
2018_4,HazaMesa,2018-08-03T00:00:00Z,AJPL; MSM,Reetiquetado // descarga datos sensores // revision
2018_5,Berchules,2018-08-02T00:00:00Z,"AJPL, JMBA, Javier Cabello, Javier Sánchez, Jose M. Muñoz, Juan Reyes","Revisión germinación, supervivencia y descarga datos hobo"
2018_1,Berchules,2018-06-27T00:00:00Z,Erik et al.,NA
2018_2,HazaMesa,2018-07-03T00:00:00Z,Erik et al.,NA
2017_7,Berchules,2017-11-09T00:00:00Z,AJPL; JMBA,NA
