Date,Time,Temp (°C)  #9761924,Coupler Detached  #9761924,Coupler Attached  #9761924,Host Connected  #9761924,End Of File  #9761924
02/05/17,12:37:44,25.186,,,,
02/05/17,12:37:55,,Logged,,,
02/05/17,12:51:54,,,Logged,Logged,
02/05/17,12:52:08,,Logged,,,
02/05/17,13:37:44,24.532,,,,
02/05/17,14:37:44,24.726,,,,
02/05/17,15:37:44,24.702,,,,
02/05/17,16:37:44,24.798,,,,
02/05/17,17:37:44,24.847,,,,
02/05/17,18:37:44,24.557,,,,
02/05/17,19:37:44,24.291,,,,
02/05/17,20:37:44,24.050,,,,
02/05/17,21:37:44,23.761,,,,
02/05/17,22:37:44,23.472,,,,
02/05/17,23:37:44,23.232,,,,
03/05/17,00:37:44,23.040,,,,
03/05/17,01:37:44,22.872,,,,
03/05/17,02:37:44,22.729,,,,
03/05/17,03:37:44,22.609,,,,
03/05/17,04:37:44,22.465,,,,
03/05/17,05:37:44,22.321,,,,
03/05/17,06:37:44,22.178,,,,
03/05/17,07:37:44,22.058,,,,
03/05/17,08:37:44,22.489,,,,
03/05/17,09:37:44,21.127,,,,
03/05/17,10:37:44,20.222,,,,
03/05/17,11:37:44,25.963,,,,
03/05/17,12:37:44,23.881,,,,
03/05/17,13:37:44,29.590,,,,
03/05/17,14:37:44,27.481,,,,
03/05/17,15:37:44,31.281,,,,
03/05/17,16:37:44,27.628,,,,
03/05/17,17:37:44,28.841,,,,
03/05/17,18:37:44,25.817,,,,
03/05/17,19:37:44,24.944,,,,
03/05/17,20:37:44,24.532,,,,
03/05/17,21:37:44,24.171,,,,
03/05/17,22:37:44,23.881,,,,
03/05/17,23:37:44,23.641,,,,
04/05/17,00:37:44,23.448,,,,
04/05/17,01:37:44,23.280,,,,
04/05/17,02:37:44,23.112,,,,
04/05/17,03:37:44,22.968,,,,
04/05/17,04:37:44,22.800,,,,
04/05/17,05:37:44,22.657,,,,
04/05/17,06:37:44,22.537,,,,
04/05/17,07:37:44,22.465,,,,
04/05/17,08:37:44,22.681,,,,
04/05/17,09:37:44,22.896,,,,
04/05/17,10:37:44,23.400,,,,
04/05/17,11:37:44,24.412,,,,
04/05/17,12:37:44,24.968,,,,
04/05/17,13:37:44,25.234,,,,
04/05/17,14:37:44,25.623,,,,
04/05/17,15:37:44,25.793,,,,
04/05/17,16:37:44,25.355,,,,
04/05/17,17:37:44,25.258,,,,
04/05/17,18:37:44,25.234,,,,
04/05/17,19:37:44,25.162,,,,
04/05/17,20:37:44,24.944,,,,
04/05/17,21:37:44,24.702,,,,
04/05/17,22:37:44,24.484,,,,
04/05/17,23:37:44,24.291,,,,
05/05/17,00:37:44,24.122,,,,
05/05/17,01:37:44,23.978,,,,
05/05/17,02:37:44,23.857,,,,
05/05/17,03:37:44,23.761,,,,
05/05/17,04:37:44,23.665,,,,
05/05/17,05:37:44,23.569,,,,
05/05/17,06:37:44,23.472,,,,
05/05/17,07:37:44,23.400,,,,
05/05/17,08:37:44,23.521,,,,
05/05/17,09:37:44,23.761,,,,
05/05/17,10:37:44,22.968,,,,
05/05/17,11:37:44,21.032,,,,
05/05/17,12:37:44,41.531,,,,
05/05/17,13:37:44,22.274,,,,
05/05/17,14:37:44,11.783,,,,
05/05/17,15:37:44,13.112,,,,
05/05/17,16:37:44,16.201,,,,
05/05/17,17:37:44,20.341,,,,
05/05/17,18:37:44,12.195,,,,
05/05/17,19:37:44,10.614,,,,
05/05/17,20:37:44,9.336,,,,
05/05/17,21:37:44,8.941,,,,
05/05/17,22:37:44,8.070,,,,
05/05/17,23:37:44,7.268,,,,
06/05/17,00:37:44,6.813,,,,
06/05/17,01:37:44,6.712,,,,
06/05/17,02:37:44,6.458,,,,
06/05/17,03:37:44,6.026,,,,
06/05/17,04:37:44,5.796,,,,
06/05/17,05:37:44,5.488,,,,
06/05/17,06:37:44,5.205,,,,
06/05/17,07:37:44,5.076,,,,
06/05/17,08:37:44,5.154,,,,
06/05/17,09:37:44,5.693,,,,
06/05/17,10:37:44,6.458,,,,
06/05/17,11:37:44,7.318,,,,
06/05/17,12:37:44,8.444,,,,
06/05/17,13:37:44,10.198,,,,
06/05/17,14:37:44,11.370,,,,
06/05/17,15:37:44,13.112,,,,
06/05/17,16:37:44,16.487,,,,
06/05/17,17:37:44,23.136,,,,
06/05/17,18:37:44,21.819,,,,
06/05/17,19:37:44,19.080,,,,
06/05/17,20:37:44,12.340,,,,
06/05/17,21:37:44,9.879,,,,
06/05/17,22:37:44,8.965,,,,
06/05/17,23:37:44,8.145,,,,
07/05/17,00:37:44,7.695,,,,
07/05/17,01:37:44,7.293,,,,
07/05/17,02:37:44,6.940,,,,
07/05/17,03:37:44,6.661,,,,
07/05/17,04:37:44,6.458,,,,
07/05/17,05:37:44,6.179,,,,
07/05/17,06:37:44,6.611,,,,
07/05/17,07:37:44,6.458,,,,
07/05/17,08:37:44,6.458,,,,
07/05/17,09:37:44,7.217,,,,
07/05/17,10:37:44,7.945,,,,
07/05/17,11:37:44,9.015,,,,
07/05/17,12:37:44,10.247,,,,
07/05/17,13:37:44,12.147,,,,
07/05/17,14:37:44,13.401,,,,
07/05/17,15:37:44,15.270,,,,
07/05/17,16:37:44,17.296,,,,
07/05/17,17:37:44,24.098,,,,
07/05/17,18:37:44,24.532,,,,
07/05/17,19:37:44,21.987,,,,
07/05/17,20:37:44,13.666,,,,
07/05/17,21:37:44,11.370,,,,
07/05/17,22:37:44,10.222,,,,
07/05/17,23:37:44,9.657,,,,
08/05/17,00:37:44,9.015,,,,
08/05/17,01:37:44,8.693,,,,
08/05/17,02:37:44,8.319,,,,
08/05/17,03:37:44,7.945,,,,
08/05/17,04:37:44,7.720,,,,
08/05/17,05:37:44,7.368,,,,
08/05/17,06:37:44,7.015,,,,
08/05/17,07:37:44,7.091,,,,
08/05/17,08:37:44,7.343,,,,
08/05/17,09:37:44,8.020,,,,
08/05/17,10:37:44,8.866,,,,
08/05/17,11:37:44,9.977,,,,
08/05/17,12:37:44,11.224,,,,
08/05/17,13:37:44,13.161,,,,
08/05/17,14:37:44,14.290,,,,
08/05/17,15:37:44,16.082,,,,
08/05/17,16:37:44,18.628,,,,
08/05/17,17:37:44,25.210,,,,
08/05/17,18:37:44,25.647,,,,
08/05/17,19:37:44,22.681,,,,
08/05/17,20:37:44,14.361,,,,
08/05/17,21:37:44,11.953,,,,
08/05/17,22:37:44,10.663,,,,
08/05/17,23:37:44,9.780,,,,
09/05/17,00:37:44,9.903,,,,
09/05/17,01:37:44,9.805,,,,
09/05/17,02:37:44,9.632,,,,
09/05/17,03:37:44,9.558,,,,
09/05/17,04:37:44,9.534,,,,
09/05/17,05:37:44,9.558,,,,
09/05/17,06:37:44,9.336,,,,
09/05/17,07:37:44,9.410,,,,
09/05/17,08:37:44,9.509,,,,
09/05/17,09:37:44,10.173,,,,
09/05/17,10:37:44,10.614,,,,
09/05/17,11:37:44,11.565,,,,
09/05/17,12:37:44,12.582,,,,
09/05/17,13:37:44,14.002,,,,
09/05/17,14:37:44,15.127,,,,
09/05/17,15:37:44,16.415,,,,
09/05/17,16:37:44,18.295,,,,
09/05/17,17:37:44,24.195,,,,
09/05/17,18:37:44,23.280,,,,
09/05/17,19:37:44,19.032,,,,
09/05/17,20:37:44,13.449,,,,
09/05/17,21:37:44,11.953,,,,
09/05/17,22:37:44,10.394,,,,
09/05/17,23:37:44,9.534,,,,
10/05/17,00:37:44,9.015,,,,
10/05/17,01:37:44,8.643,,,,
10/05/17,02:37:44,8.319,,,,
10/05/17,03:37:44,8.095,,,,
10/05/17,04:37:44,8.020,,,,
10/05/17,05:37:44,8.220,,,,
10/05/17,06:37:44,8.519,,,,
10/05/17,07:37:44,8.717,,,,
10/05/17,08:37:44,8.767,,,,
10/05/17,09:37:44,9.386,,,,
10/05/17,10:37:44,10.443,,,,
10/05/17,11:37:44,10.663,,,,
10/05/17,12:37:44,11.370,,,,
10/05/17,13:37:44,13.064,,,,
10/05/17,14:37:44,13.858,,,,
10/05/17,15:37:44,15.748,,,,
10/05/17,16:37:44,16.534,,,,
10/05/17,17:37:44,15.079,,,,
10/05/17,18:37:44,12.775,,,,
10/05/17,19:37:44,11.078,,,,
10/05/17,20:37:44,10.001,,,,
10/05/17,21:37:44,8.891,,,,
10/05/17,22:37:44,8.369,,,,
10/05/17,23:37:44,7.845,,,,
11/05/17,00:37:44,8.319,,,,
11/05/17,01:37:44,8.319,,,,
11/05/17,02:37:44,7.720,,,,
