Date,Time,Temp (°C)  #9695081,Coupler Detached  #9695081,Coupler Attached  #9695081,Host Connected  #9695081,Bad Battery  #9695081,Good Battery  #9695081,End Of File  #9695081
02/05/17,12:24:54,24.171,,,,,,
02/05/17,12:25:08,,Logged,,,,,
02/05/17,12:52:41,,,Logged,Logged,,,
02/05/17,12:52:54,,Logged,,,,,
02/05/17,12:58:05,,,Logged,,,,
02/05/17,12:58:09,,Logged,,,,,
02/05/17,13:24:54,24.508,,,,,,
02/05/17,14:24:54,24.702,,,,,,
02/05/17,15:24:54,24.677,,,,,,
02/05/17,16:24:54,24.702,,,,,,
02/05/17,17:24:54,24.750,,,,,,
02/05/17,18:24:54,24.557,,,,,,
02/05/17,19:24:54,24.315,,,,,,
02/05/17,20:24:54,24.098,,,,,,
02/05/17,21:24:54,23.809,,,,,,
02/05/17,22:24:54,23.521,,,,,,
02/05/17,23:24:54,23.280,,,,,,
03/05/17,00:24:54,23.064,,,,,,
03/05/17,01:24:54,22.896,,,,,,
03/05/17,02:24:54,22.729,,,,,,
03/05/17,03:24:54,22.585,,,,,,
03/05/17,04:24:54,22.441,,,,,,
03/05/17,05:24:54,22.321,,,,,,
03/05/17,06:24:54,22.178,,,,,,
03/05/17,07:24:54,22.034,,,,,,
03/05/17,08:24:54,22.178,,,,,,
03/05/17,09:24:54,21.581,,,,,,
03/05/17,10:24:54,20.913,,,,,,
03/05/17,11:24:54,25.939,,,,,,
03/05/17,12:24:54,21.843,,,,,,
03/05/17,13:24:54,25.234,,,,,,
03/05/17,14:24:54,26.402,,,,,,
03/05/17,15:24:54,29.490,,,,,,
03/05/17,16:24:54,28.196,,,,,,
03/05/17,17:24:54,29.966,,,,,,
03/05/17,18:24:54,25.987,,,,,,
03/05/17,19:24:54,25.016,,,,,,
03/05/17,20:24:54,24.605,,,,,,
03/05/17,21:24:54,24.243,,,,,,
03/05/17,22:24:54,23.954,,,,,,
03/05/17,23:24:54,23.689,,,,,,
04/05/17,00:24:54,23.497,,,,,,
04/05/17,01:24:54,23.328,,,,,,
04/05/17,02:24:54,23.160,,,,,,
04/05/17,03:24:54,22.992,,,,,,
04/05/17,04:24:54,22.848,,,,,,
04/05/17,05:24:54,22.705,,,,,,
04/05/17,06:24:54,22.585,,,,,,
04/05/17,07:24:54,22.465,,,,,,
04/05/17,08:24:54,22.585,,,,,,
04/05/17,09:24:54,22.992,,,,,,
04/05/17,10:24:54,23.352,,,,,,
04/05/17,11:24:54,24.050,,,,,,
04/05/17,12:24:54,24.677,,,,,,
04/05/17,13:24:54,24.968,,,,,,
04/05/17,14:24:54,25.283,,,,,,
04/05/17,15:24:54,25.647,,,,,,
04/05/17,16:24:54,25.258,,,,,,
04/05/17,17:24:54,25.137,,,,,,
04/05/17,18:24:54,25.113,,,,,,
04/05/17,19:24:54,25.065,,,,,,
04/05/17,20:24:54,24.895,,,,,,
04/05/17,21:24:54,24.677,,,,,,
04/05/17,22:24:54,24.484,,,,,,
04/05/17,23:24:54,24.291,,,,,,
05/05/17,00:24:54,24.098,,,,,,
05/05/17,01:24:54,23.954,,,,,,
05/05/17,02:24:54,23.833,,,,,,
05/05/17,03:24:54,23.713,,,,,,
05/05/17,04:24:54,23.617,,,,,,
05/05/17,05:24:54,23.521,,,,,,
05/05/17,06:24:54,23.424,,,,,,
05/05/17,07:24:54,23.352,,,,,,
05/05/17,08:24:54,23.376,,,,,,
05/05/17,09:24:54,23.881,,,,,,
05/05/17,10:24:54,22.896,,,,,,
05/05/17,11:24:54,21.557,,,,,,
05/05/17,12:24:54,36.471,,,,,,
05/05/17,13:24:54,17.225,,,,,,
05/05/17,14:24:54,12.871,,,,,,
05/05/17,15:24:54,14.026,,,,,,
05/05/17,16:24:54,21.819,,,,,,
05/05/17,17:24:54,21.843,,,,,,
05/05/17,18:24:54,13.930,,,,,,
05/05/17,19:24:54,11.589,,,,,,
05/05/17,20:24:54,9.977,,,,,,
05/05/17,21:24:54,8.990,,,,,,
05/05/17,22:24:54,8.344,,,,,,
05/05/17,23:24:54,7.469,,,,,,
06/05/17,00:24:54,6.712,,,,,,
06/05/17,01:24:54,6.408,,,,,,
06/05/17,02:24:54,6.255,,,,,,
06/05/17,03:24:54,5.616,,,,,,
06/05/17,04:24:54,5.231,,,,,,
06/05/17,05:24:54,4.895,,,,,,
06/05/17,06:24:54,4.584,,,,,,
06/05/17,07:24:54,4.480,,,,,,
06/05/17,08:24:54,4.428,,,,,,
06/05/17,09:24:54,4.610,,,,,,
06/05/17,10:24:54,5.050,,,,,,
06/05/17,11:24:54,5.539,,,,,,
06/05/17,12:24:54,6.357,,,,,,
06/05/17,13:24:54,7.419,,,,,,
06/05/17,14:24:54,17.534,,,,,,
06/05/17,15:24:54,27.653,,,,,,
06/05/17,16:24:54,29.040,,,,,,
06/05/17,17:24:54,28.468,,,,,,
06/05/17,18:24:54,22.920,,,,,,
06/05/17,19:24:54,18.295,,,,,,
06/05/17,20:24:54,12.920,,,,,,
06/05/17,21:24:54,10.443,,,,,,
06/05/17,22:24:54,9.064,,,,,,
06/05/17,23:24:54,8.369,,,,,,
07/05/17,00:24:54,7.695,,,,,,
07/05/17,01:24:54,7.217,,,,,,
07/05/17,02:24:54,6.839,,,,,,
07/05/17,03:24:54,6.357,,,,,,
07/05/17,04:24:54,6.128,,,,,,
07/05/17,05:24:54,5.796,,,,,,
07/05/17,06:24:54,6.077,,,,,,
07/05/17,07:24:54,6.102,,,,,,
07/05/17,08:24:54,6.026,,,,,,
07/05/17,09:24:54,6.281,,,,,,
07/05/17,10:24:54,6.661,,,,,,
07/05/17,11:24:54,7.368,,,,,,
07/05/17,12:24:54,8.817,,,,,,
07/05/17,13:24:54,9.731,,,,,,
07/05/17,14:24:54,20.412,,,,,,
07/05/17,15:24:54,30.394,,,,,,
07/05/17,16:24:54,24.243,,,,,,
07/05/17,17:24:54,28.320,,,,,,
07/05/17,18:24:54,25.525,,,,,,
07/05/17,19:24:54,20.579,,,,,,
07/05/17,20:24:54,14.409,,,,,,
