Date,Time,Temp (°C)  #9695076,Coupler Detached  #9695076,Coupler Attached  #9695076,Host Connected  #9695076,Bad Battery  #9695076,Good Battery  #9695076,End Of File  #9695076
21/04/17,10:18:06,24.146,,,,,,
21/04/17,10:18:15,,Logged,,,,,
21/04/17,11:18:06,26.280,,,,,,
21/04/17,11:22:57,,,Logged,,,,
21/04/17,11:23:06,,Logged,,,,,
21/04/17,11:23:41,,,Logged,,,,
21/04/17,11:23:46,,,,Logged,,,
21/04/17,11:24:20,,Logged,,,,,
21/04/17,11:52:15,,,Logged,Logged,,,
21/04/17,11:52:23,,Logged,,,,,
21/04/17,12:18:06,24.629,,,,,,
21/04/17,13:18:06,24.339,,,,,,
21/04/17,14:18:06,25.040,,,,,,
21/04/17,15:18:06,25.089,,,,,,
21/04/17,16:18:06,25.162,,,,,,
21/04/17,17:18:06,25.258,,,,,,
21/04/17,18:18:06,25.331,,,,,,
21/04/17,19:18:06,25.283,,,,,,
21/04/17,20:18:06,25.355,,,,,,
21/04/17,21:18:06,25.186,,,,,,
21/04/17,22:18:06,24.581,,,,,,
21/04/17,23:18:06,24.195,,,,,,
22/04/17,00:18:06,23.954,,,,,,
22/04/17,01:18:06,23.737,,,,,,
22/04/17,02:18:06,23.569,,,,,,
22/04/17,03:18:06,23.424,,,,,,
22/04/17,04:18:06,23.280,,,,,,
22/04/17,05:18:06,23.136,,,,,,
22/04/17,06:18:06,22.992,,,,,,
22/04/17,07:18:06,22.872,,,,,,
22/04/17,08:18:06,22.800,,,,,,
22/04/17,09:18:06,23.280,,,,,,
22/04/17,10:18:06,23.472,,,,,,
22/04/17,11:18:06,23.809,,,,,,
22/04/17,12:18:06,24.002,,,,,,
22/04/17,13:18:06,24.243,,,,,,
22/04/17,14:18:06,24.436,,,,,,
22/04/17,15:18:06,24.557,,,,,,
22/04/17,16:18:06,24.726,,,,,,
22/04/17,17:18:06,24.968,,,,,,
22/04/17,18:18:06,24.968,,,,,,
22/04/17,19:18:06,24.968,,,,,,
22/04/17,20:18:06,24.823,,,,,,
22/04/17,21:18:06,24.532,,,,,,
22/04/17,22:18:06,24.291,,,,,,
22/04/17,23:18:06,24.098,,,,,,
23/04/17,00:18:06,23.954,,,,,,
23/04/17,01:18:06,23.833,,,,,,
23/04/17,02:18:06,23.713,,,,,,
23/04/17,03:18:06,23.569,,,,,,
23/04/17,04:18:06,23.424,,,,,,
23/04/17,05:18:06,23.328,,,,,,
23/04/17,06:18:06,23.232,,,,,,
23/04/17,07:18:06,23.136,,,,,,
23/04/17,08:18:06,23.088,,,,,,
23/04/17,09:18:06,23.208,,,,,,
23/04/17,10:18:06,23.593,,,,,,
23/04/17,11:18:06,24.002,,,,,,
23/04/17,12:18:06,24.291,,,,,,
23/04/17,13:18:06,24.532,,,,,,
23/04/17,14:18:06,24.702,,,,,,
23/04/17,15:18:06,24.823,,,,,,
23/04/17,16:18:06,24.968,,,,,,
23/04/17,17:18:06,25.162,,,,,,
23/04/17,18:18:06,25.283,,,,,,
23/04/17,19:18:06,25.210,,,,,,
23/04/17,20:18:06,24.992,,,,,,
23/04/17,21:18:06,24.677,,,,,,
23/04/17,22:18:06,24.412,,,,,,
23/04/17,23:18:06,24.195,,,,,,
24/04/17,00:18:06,24.050,,,,,,
24/04/17,01:18:06,23.930,,,,,,
24/04/17,02:18:06,23.785,,,,,,
24/04/17,03:18:06,23.665,,,,,,
24/04/17,04:18:06,23.521,,,,,,
24/04/17,05:18:06,23.400,,,,,,
24/04/17,06:18:06,23.280,,,,,,
24/04/17,07:18:06,23.400,,,,,,
24/04/17,08:18:06,22.178,,,,,,
24/04/17,09:18:06,21.509,,,,,,
24/04/17,10:18:06,21.032,,,,,,
24/04/17,11:18:06,20.770,,,,,,
24/04/17,12:18:06,20.507,,,,,,
24/04/17,13:18:06,28.048,,,,,,
24/04/17,14:18:06,25.939,,,,,,
24/04/17,15:18:06,15.772,,,,,,
24/04/17,16:18:06,10.687,,,,,,
24/04/17,17:18:06,11.637,,,,,,
24/04/17,18:18:06,11.565,,,,,,
24/04/17,19:18:06,9.435,,,,,,
24/04/17,20:18:06,8.369,,,,,,
24/04/17,21:18:06,7.845,,,,,,
24/04/17,22:18:06,7.318,,,,,,
24/04/17,23:18:06,7.041,,,,,,
25/04/17,00:18:06,6.458,,,,,,
25/04/17,01:18:06,6.484,,,,,,
25/04/17,02:18:06,6.255,,,,,,
25/04/17,03:18:06,5.360,,,,,,
25/04/17,04:18:06,5.488,,,,,,
25/04/17,05:18:06,5.411,,,,,,
25/04/17,06:18:06,5.565,,,,,,
25/04/17,07:18:06,5.539,,,,,,
25/04/17,08:18:06,5.360,,,,,,
25/04/17,09:18:06,4.973,,,,,,
25/04/17,10:18:06,4.999,,,,,,
25/04/17,11:18:06,5.231,,,,,,
25/04/17,12:18:06,6.560,,,,,,
25/04/17,13:18:06,11.175,,,,,,
25/04/17,14:18:06,16.654,,,,,,
25/04/17,15:18:06,18.485,,,,,,
25/04/17,16:18:06,19.555,,,,,,
25/04/17,17:18:06,17.272,,,,,,
25/04/17,18:18:06,17.962,,,,,,
25/04/17,19:18:06,16.749,,,,,,
25/04/17,20:18:06,12.534,,,,,,
25/04/17,21:18:06,9.608,,,,,,
25/04/17,22:18:06,7.970,,,,,,
25/04/17,23:18:06,6.889,,,,,,
26/04/17,00:18:06,4.895,,,,,,
26/04/17,01:18:06,3.880,,,,,,
26/04/17,02:18:06,3.749,,,,,,
26/04/17,03:18:06,3.932,,,,,,
26/04/17,04:18:06,3.985,,,,,,
26/04/17,05:18:06,3.670,,,,,,
26/04/17,06:18:06,2.664,,,,,,
26/04/17,07:18:06,2.289,,,,,,
26/04/17,08:18:06,2.074,,,,,,
26/04/17,09:18:06,2.770,,,,,,
26/04/17,10:18:06,3.142,,,,,,
26/04/17,11:18:06,4.506,,,,,,
26/04/17,12:18:06,5.179,,,,,,
26/04/17,13:18:06,10.394,,,,,,
26/04/17,14:18:06,13.401,,,,,,
26/04/17,15:18:06,15.079,,,,,,
26/04/17,16:18:06,14.792,,,,,,
26/04/17,17:18:06,14.529,,,,,,
26/04/17,18:18:06,15.796,,,,,,
26/04/17,19:18:06,12.413,,,,,,
26/04/17,20:18:06,12.098,,,,,,
26/04/17,21:18:06,8.469,,,,,,
26/04/17,22:18:06,6.712,,,,,,
26/04/17,23:18:06,5.796,,,,,,
27/04/17,00:18:06,5.257,,,,,,
27/04/17,01:18:06,4.766,,,,,,
27/04/17,02:18:06,4.584,,,,,,
27/04/17,03:18:06,4.818,,,,,,
27/04/17,04:18:06,4.792,,,,,,
27/04/17,05:18:06,4.766,,,,,,
27/04/17,06:18:06,4.662,,,,,,
27/04/17,07:18:06,4.740,,,,,,
27/04/17,08:18:06,4.454,,,,,,
27/04/17,09:18:06,5.282,,,,,,
27/04/17,10:18:06,6.687,,,,,,
27/04/17,11:18:06,7.318,,,,,,
27/04/17,12:18:06,9.188,,,,,,
27/04/17,13:18:06,11.540,,,,,,
27/04/17,14:18:06,12.316,,,,,,
27/04/17,15:18:06,9.706,,,,,,
27/04/17,16:18:06,8.792,,,,,,
27/04/17,17:18:06,7.116,,,,,,
27/04/17,18:18:06,6.687,,,,,,
27/04/17,19:18:06,6.509,,,,,,
27/04/17,20:18:06,6.026,,,,,,
27/04/17,21:18:06,5.154,,,,,,
27/04/17,22:18:06,4.921,,,,,,
27/04/17,23:18:06,4.766,,,,,,
28/04/17,00:18:06,4.584,,,,,,
28/04/17,01:18:06,4.454,,,,,,
28/04/17,02:18:06,4.324,,,,,,
28/04/17,03:18:06,3.538,,,,,,
28/04/17,04:18:06,3.958,,,,,,
28/04/17,05:18:06,4.063,,,,,,
28/04/17,06:18:06,4.141,,,,,,
28/04/17,07:18:06,3.749,,,,,,
28/04/17,08:18:06,3.538,,,,,,
28/04/17,09:18:06,1.425,,,,,,
28/04/17,10:18:06,2.101,,,,,,
28/04/17,11:18:06,2.316,,,,,,
28/04/17,12:18:06,2.423,,,,,,
28/04/17,13:18:06,2.530,,,,,,
28/04/17,14:18:06,2.557,,,,,,
28/04/17,15:18:06,2.584,,,,,,
28/04/17,16:18:06,2.610,,,,,,
28/04/17,17:18:06,2.610,,,,,,
28/04/17,18:18:06,2.503,,,,,,
28/04/17,19:18:06,2.477,,,,,,
28/04/17,20:18:06,2.450,,,,,,
28/04/17,21:18:06,2.396,,,,,,
28/04/17,22:18:06,2.316,,,,,,
28/04/17,23:18:06,2.316,,,,,,
29/04/17,00:18:06,2.289,,,,,,
29/04/17,01:18:06,2.155,,,,,,
29/04/17,02:18:06,2.128,,,,,,
29/04/17,03:18:06,2.155,,,,,,
29/04/17,04:18:06,2.101,,,,,,
29/04/17,05:18:06,2.155,,,,,,
29/04/17,06:18:06,2.128,,,,,,
29/04/17,07:18:06,2.182,,,,,,
29/04/17,08:18:06,2.074,,,,,,
29/04/17,09:18:06,2.182,,,,,,
29/04/17,10:18:06,2.584,,,,,,
29/04/17,11:18:06,2.877,,,,,,
