Date,Time,Temp (°C)  #9761966,Coupler Detached  #9761966,Bad Battery  #9761966,Good Battery  #9761966,Coupler Attached  #9761966,Host Connected  #9761966,End Of File  #9761966
02/05/17,12:54:30,25.040,,,,,,
02/05/17,12:54:33,,Logged,,,,,
02/05/17,13:54:30,24.726,,,,,,
02/05/17,14:54:30,24.992,,,,,,
02/05/17,15:54:30,24.968,,,,,,
02/05/17,16:54:30,24.968,,,,,,
02/05/17,17:54:30,24.895,,,,,,
02/05/17,18:54:30,24.653,,,,,,
02/05/17,19:54:30,24.412,,,,,,
02/05/17,20:54:30,24.146,,,,,,
02/05/17,21:54:30,23.857,,,,,,
02/05/17,22:54:30,23.569,,,,,,
02/05/17,23:54:30,23.352,,,,,,
03/05/17,00:54:30,23.136,,,,,,
03/05/17,01:54:30,22.968,,,,,,
03/05/17,02:54:30,22.800,,,,,,
03/05/17,03:54:30,22.681,,,,,,
03/05/17,04:54:30,22.537,,,,,,
03/05/17,05:54:30,22.393,,,,,,
03/05/17,06:54:30,22.250,,,,,,
03/05/17,07:54:30,22.154,,,,,,
03/05/17,08:54:30,22.321,,,,,,
03/05/17,09:54:30,21.175,,,,,,
03/05/17,10:54:30,23.424,,,,,,
03/05/17,11:54:30,25.234,,,,,,
03/05/17,12:54:30,27.235,,,,,,
03/05/17,13:54:30,17.296,,,,,,
03/05/17,14:54:30,17.177,,,,,,
03/05/17,15:54:30,20.222,,,,,,
03/05/17,16:54:30,20.460,,,,,,
03/05/17,17:54:30,19.865,,,,,,
03/05/17,18:54:30,17.629,,,,,,
03/05/17,19:54:30,14.553,,,,,,
03/05/17,20:54:30,10.075,,,,,,
03/05/17,21:54:30,7.217,,,,,,
03/05/17,22:54:30,6.306,,,,,,
03/05/17,23:54:30,5.949,,,,,,
04/05/17,00:54:30,5.745,,,,,,
04/05/17,01:54:30,5.668,,,,,,
04/05/17,02:54:30,5.411,,,,,,
04/05/17,03:54:30,5.179,,,,,,
04/05/17,04:54:30,5.360,,,,,,
04/05/17,05:54:30,5.591,,,,,,
04/05/17,06:54:30,5.693,,,,,,
04/05/17,07:54:30,5.770,,,,,,
04/05/17,08:54:30,6.153,,,,,,
04/05/17,09:54:30,6.737,,,,,,
04/05/17,10:54:30,7.795,,,,,,
04/05/17,11:54:30,9.410,,,,,,
04/05/17,12:54:30,12.823,,,,,,
04/05/17,13:54:30,14.098,,,,,,
04/05/17,14:54:30,17.130,,,,,,
04/05/17,15:54:30,18.961,,,,,,
04/05/17,16:54:30,20.865,,,,,,
04/05/17,17:54:30,20.460,,,,,,
04/05/17,18:54:30,18.176,,,,,,
04/05/17,19:54:30,14.266,,,,,,
04/05/17,20:54:30,11.053,,,,,,
04/05/17,21:54:30,9.386,,,,,,
04/05/17,22:54:30,8.618,,,,,,
04/05/17,23:54:30,8.494,,,,,,
05/05/17,00:54:30,8.494,,,,,,
05/05/17,01:54:30,8.767,,,,,,
05/05/17,02:54:30,8.866,,,,,,
05/05/17,03:54:30,8.543,,,,,,
05/05/17,04:54:30,7.920,,,,,,
05/05/17,05:54:30,7.494,,,,,,
05/05/17,06:54:30,7.393,,,,,,
05/05/17,07:54:30,7.116,,,,,,
05/05/17,08:54:30,6.864,,,,,,
05/05/17,09:54:30,6.636,,,,,,
05/05/17,10:54:30,7.066,,,,,,
05/05/17,11:54:30,9.064,,,,,,
05/05/17,12:54:30,13.690,,,,,,
05/05/17,13:54:30,16.225,,,,,,
05/05/17,14:54:30,13.449,,,,,,
05/05/17,15:54:30,19.698,,,,,,
05/05/17,16:54:30,19.603,,,,,,
05/05/17,17:54:30,18.010,,,,,,
05/05/17,18:54:30,12.292,,,,,,
05/05/17,19:54:30,10.369,,,,,,
05/05/17,20:54:30,8.220,,,,,,
05/05/17,21:54:30,7.444,,,,,,
05/05/17,22:54:30,6.408,,,,,,
05/05/17,23:54:30,5.488,,,,,,
06/05/17,00:54:30,4.792,,,,,,
06/05/17,01:54:30,4.688,,,,,,
06/05/17,02:54:30,4.194,,,,,,
06/05/17,03:54:30,3.749,,,,,,
06/05/17,04:54:30,3.168,,,,,,
06/05/17,05:54:30,2.664,,,,,,
06/05/17,06:54:30,2.209,,,,,,
06/05/17,07:54:30,2.047,,,,,,
06/05/17,08:54:30,2.262,,,,,,
06/05/17,09:54:30,2.717,,,,,,
06/05/17,10:54:30,3.670,,,,,,
06/05/17,11:54:30,6.000,,,,,,
06/05/17,12:54:30,11.248,,,,,,
06/05/17,13:54:30,18.913,,,,,,
06/05/17,14:54:30,19.793,,,,,,
06/05/17,15:54:30,23.978,,,,,,
06/05/17,16:54:30,25.671,,,,,,
06/05/17,17:54:30,24.146,,,,,,
06/05/17,18:54:30,20.388,,,,,,
06/05/17,19:54:30,16.344,,,,,,
06/05/17,20:54:30,11.370,,,,,,
06/05/17,21:54:30,7.645,,,,,,
06/05/17,22:54:30,6.331,,,,,,
06/05/17,23:54:30,5.668,,,,,,
07/05/17,00:54:30,4.921,,,,,,
07/05/17,01:54:30,4.350,,,,,,
07/05/17,02:54:30,4.037,,,,,,
07/05/17,03:54:30,3.538,,,,,,
07/05/17,04:54:30,3.248,,,,,,
07/05/17,05:54:30,3.142,,,,,,
07/05/17,06:54:30,3.775,,,,,,
07/05/17,07:54:30,3.433,,,,,,
07/05/17,08:54:30,3.617,,,,,,
07/05/17,09:54:30,4.037,,,,,,
07/05/17,10:54:30,5.179,,,,,,
07/05/17,11:54:30,8.020,,,,,,
07/05/17,12:54:30,13.329,,,,,,
07/05/17,13:54:30,21.246,,,,,,
07/05/17,14:54:30,22.513,,,,,,
07/05/17,15:54:30,25.404,,,,,,
07/05/17,16:54:30,25.550,,,,,,
07/05/17,17:54:30,24.653,,,,,,
07/05/17,18:54:30,22.561,,,,,,
07/05/17,19:54:30,18.224,,,,,,
07/05/17,20:54:30,12.920,,,,,,
07/05/17,21:54:30,9.361,,,,,,
07/05/17,22:54:30,8.145,,,,,,
07/05/17,23:54:30,7.242,,,,,,
08/05/17,00:54:30,6.509,,,,,,
08/05/17,01:54:30,6.000,,,,,,
08/05/17,02:54:30,5.821,,,,,,
08/05/17,03:54:30,5.437,,,,,,
08/05/17,04:54:30,5.154,,,,,,
08/05/17,05:54:30,4.895,,,,,,
08/05/17,06:54:30,4.298,,,,,,
08/05/17,07:54:30,4.454,,,,,,
08/05/17,08:54:30,4.610,,,,,,
08/05/17,09:54:30,5.076,,,,,,
08/05/17,10:54:30,6.102,,,,,,
08/05/17,11:54:30,9.262,,,,,,
08/05/17,12:54:30,14.936,,,,,,
08/05/17,13:54:30,22.250,,,,,,
08/05/17,14:54:30,23.256,,,,,,
08/05/17,15:54:30,26.426,,,,,,
08/05/17,16:54:30,28.369,,,,,,
08/05/17,17:54:30,25.841,,,,,,
08/05/17,18:54:30,22.824,,,,,,
08/05/17,19:54:30,18.390,,,,,,
08/05/17,20:54:30,13.257,,,,,,
08/05/17,21:54:30,9.952,,,,,,
08/05/17,22:54:30,8.070,,,,,,
08/05/17,23:54:30,6.763,,,,,,
09/05/17,00:54:30,7.192,,,,,,
09/05/17,01:54:30,7.393,,,,,,
09/05/17,02:54:30,7.393,,,,,,
09/05/17,03:54:30,7.519,,,,,,
09/05/17,04:54:30,7.745,,,,,,
09/05/17,05:54:30,7.845,,,,,,
09/05/17,06:54:30,7.419,,,,,,
09/05/17,07:54:30,7.720,,,,,,
09/05/17,08:54:30,7.318,,,,,,
09/05/17,09:54:30,7.845,,,,,,
09/05/17,10:54:30,8.717,,,,,,
09/05/17,11:54:30,11.565,,,,,,
09/05/17,12:54:30,16.082,,,,,,
09/05/17,13:54:30,22.633,,,,,,
09/05/17,14:54:30,23.569,,,,,,
09/05/17,15:54:30,24.823,,,,,,
09/05/17,16:54:30,27.579,,,,,,
09/05/17,17:54:30,25.331,,,,,,
09/05/17,18:54:30,22.274,,,,,,
09/05/17,19:54:30,16.415,,,,,,
09/05/17,20:54:30,12.534,,,,,,
09/05/17,21:54:30,10.785,,,,,,
09/05/17,22:54:30,7.945,,,,,,
09/05/17,23:54:30,6.763,,,,,,
10/05/17,00:54:30,6.230,,,,,,
10/05/17,01:54:30,5.719,,,,,,
10/05/17,02:54:30,5.462,,,,,,
10/05/17,03:54:30,5.591,,,,,,
10/05/17,04:54:30,5.642,,,,,,
10/05/17,05:54:30,6.255,,,,,,
10/05/17,06:54:30,6.864,,,,,,
10/05/17,07:54:30,7.268,,,,,,
10/05/17,08:54:30,7.619,,,,,,
10/05/17,09:54:30,8.519,,,,,,
10/05/17,10:54:30,11.102,,,,,,
10/05/17,11:54:30,12.074,,,,,,
10/05/17,12:54:30,16.630,,,,,,
10/05/17,13:54:30,22.968,,,,,,
10/05/17,14:54:30,23.809,,,,,,
10/05/17,15:54:30,24.122,,,,,,
10/05/17,16:54:30,21.748,,,,,,
10/05/17,17:54:30,17.439,,,,,,
10/05/17,18:54:30,14.026,,,,,,
10/05/17,19:54:30,11.467,,,,,,
10/05/17,20:54:30,9.410,,,,,,
10/05/17,21:54:30,7.745,,,,,,
10/05/17,22:54:30,6.737,,,,,,
10/05/17,23:54:30,6.306,,,,,,
11/05/17,00:54:30,7.167,,,,,,
11/05/17,01:54:30,7.393,,,,,,
11/05/17,02:54:30,7.015,,,,,,
11/05/17,03:54:30,7.116,,,,,,
11/05/17,04:54:30,6.763,,,,,,
11/05/17,05:54:30,5.719,,,,,,
11/05/17,06:54:30,5.179,,,,,,
11/05/17,07:54:30,5.231,,,,,,
11/05/17,08:54:30,5.257,,,,,,
11/05/17,09:54:30,6.026,,,,,,
11/05/17,10:54:30,5.642,,,,,,
11/05/17,11:54:30,8.419,,,,,,
11/05/17,12:54:30,11.151,,,,,,
11/05/17,13:54:30,10.980,,,,,,
11/05/17,14:54:30,7.695,,,,,,
11/05/17,15:54:30,7.293,,,,,,
11/05/17,16:54:30,7.469,,,,,,
11/05/17,17:54:30,6.839,,,,,,
