Date,Time,Temp (°C)  #9780026,Coupler Detached  #9780026,Coupler Attached  #9780026,Host Connected  #9780026,End Of File  #9780026
21/04/17,11:00:00,24.847,Logged,,,
21/04/17,11:24:24,,,Logged,Logged,
21/04/17,11:25:26,,Logged,,,
21/04/17,11:51:36,,,Logged,,
21/04/17,11:51:45,,,,Logged,
21/04/17,11:51:58,,Logged,,,
21/04/17,12:00:00,25.380,,,,
21/04/17,13:00:00,24.002,,,,
21/04/17,14:00:00,24.847,,,,
21/04/17,15:00:00,25.089,,,,
21/04/17,16:00:00,25.113,,,,
21/04/17,17:00:00,25.234,,,,
21/04/17,18:00:00,25.307,,,,
21/04/17,19:00:00,25.307,,,,
21/04/17,20:00:00,25.234,,,,
21/04/17,21:00:00,25.380,,,,
21/04/17,22:00:00,24.774,,,,
21/04/17,23:00:00,24.315,,,,
22/04/17,00:00:00,24.026,,,,
22/04/17,01:00:00,23.833,,,,
22/04/17,02:00:00,23.641,,,,
22/04/17,03:00:00,23.497,,,,
22/04/17,04:00:00,23.352,,,,
22/04/17,05:00:00,23.208,,,,
22/04/17,06:00:00,23.088,,,,
22/04/17,07:00:00,22.944,,,,
22/04/17,08:00:00,22.848,,,,
22/04/17,09:00:00,23.160,,,,
22/04/17,10:00:00,23.424,,,,
22/04/17,11:00:00,23.713,,,,
22/04/17,12:00:00,23.954,,,,
22/04/17,13:00:00,24.195,,,,
22/04/17,14:00:00,24.363,,,,
22/04/17,15:00:00,24.508,,,,
22/04/17,16:00:00,24.653,,,,
22/04/17,17:00:00,24.919,,,,
22/04/17,18:00:00,24.968,,,,
22/04/17,19:00:00,25.016,,,,
22/04/17,20:00:00,24.919,,,,
22/04/17,21:00:00,24.653,,,,
22/04/17,22:00:00,24.388,,,,
22/04/17,23:00:00,24.171,,,,
23/04/17,00:00:00,24.026,,,,
23/04/17,01:00:00,23.905,,,,
23/04/17,02:00:00,23.761,,,,
23/04/17,03:00:00,23.665,,,,
23/04/17,04:00:00,23.521,,,,
23/04/17,05:00:00,23.400,,,,
23/04/17,06:00:00,23.280,,,,
23/04/17,07:00:00,23.184,,,,
23/04/17,08:00:00,23.112,,,,
23/04/17,09:00:00,23.184,,,,
23/04/17,10:00:00,23.472,,,,
23/04/17,11:00:00,23.881,,,,
23/04/17,12:00:00,24.219,,,,
23/04/17,13:00:00,24.484,,,,
23/04/17,14:00:00,24.677,,,,
23/04/17,15:00:00,24.798,,,,
23/04/17,16:00:00,24.919,,,,
23/04/17,17:00:00,25.113,,,,
23/04/17,18:00:00,25.283,,,,
23/04/17,19:00:00,25.258,,,,
23/04/17,20:00:00,25.089,,,,
23/04/17,21:00:00,24.798,,,,
23/04/17,22:00:00,24.508,,,,
